flight,step,gap_minutes,gc_gap_km,raw_adsb_dist_km,baseline_dist_km,kalman_dist_km,gru_dist_km,adsc_true_dist_km,baseline_gap_km,kalman_gap_km,gru_gap_km,baseline_dev_km,kalman_dev_km,gru_dev_km,raw_co2_kg,baseline_co2_kg,kalman_co2_kg,gru_co2_kg,adsc_co2_kg
20240827_3475d3_100606_111318,step1_raw_2024-08-10_to_2024-09-10,231.5,3648.2,1445.5,5093.7,5096.6,5354.0,5112.3,3616.9,3651.2,3596.5,0.9,56.5,249.7,27464.0,96780.0,96836.0,101727.0,97134.0
20240827_4b187f_064414_074830,step1_raw_2024-08-10_to_2024-09-10,214.8,3448.5,2203.5,5652.0,5665.2,5849.7,5662.7,3416.6,3461.7,3398.3,0.8,116.5,209.4,41866.0,107387.0,107638.0,111145.0,107591.0
20240827_76cce7_094422_105416,step1_raw_2024-08-10_to_2024-09-10,190.0,3186.0,3515.1,6701.1,6705.9,6967.5,6711.6,3152.7,3190.8,3155.3,0.7,65.4,249.4,66786.0,127321.0,127412.0,132382.0,127521.0
20240827_ac142e_064538_080957,step1_raw_2024-08-10_to_2024-09-10,258.0,4243.8,2670.2,6914.0,6928.7,7145.6,6942.2,4211.0,4258.5,4217.5,1.2,148.6,256.5,50733.0,131365.0,131645.0,135766.0,131902.0
20240827_ac17e6_094959_105306,step1_raw_2024-08-10_to_2024-09-10,196.5,3229.1,1972.4,5201.5,5206.8,5420.7,5204.1,3196.3,3234.5,3193.4,0.7,73.7,226.4,37475.0,98828.0,98930.0,102994.0,98879.0
20240827_ac308f_063437_074357,step1_raw_2024-08-10_to_2024-09-10,280.8,4599.8,2102.2,6702.0,6807.8,7004.4,6735.0,4567.2,4705.6,4586.0,1.4,428.4,271.1,39941.0,127338.0,129348.0,133084.0,127966.0
20240901_06a129_045019_055032,step1_raw_2024-09-01_to_2024-10-01,193.8,3422.3,2953.9,6376.2,6376.7,6609.8,6384.6,3387.2,3422.8,3390.4,0.7,22.4,232.4,56124.0,121147.0,121157.0,125586.0,121307.0
20240901_39c48d_063909_074330,step1_raw_2024-09-01_to_2024-10-01,210.0,3437.4,2004.9,5442.3,5444.2,5663.7,5449.2,3404.8,3439.3,3391.4,0.8,46.8,235.9,38093.0,103403.0,103440.0,107611.0,103534.0
20240901_400684_032019_044231,step1_raw_2024-09-01_to_2024-10-01,279.0,4340.3,1196.3,5536.6,5645.8,5791.3,5556.9,4309.3,4449.5,4313.2,1.2,425.8,244.8,22730.0,105195.0,107271.0,110035.0,105581.0
20240901_4067f5_030745_042410,step1_raw_2024-09-01_to_2024-10-01,195.2,3317.4,1470.6,4788.0,4792.3,4967.8,4799.1,3283.5,3321.7,3265.7,0.7,66.5,191.0,27941.0,90972.0,91054.0,94388.0,91184.0
20240901_4067f6_033657_043740,step1_raw_2024-09-01_to_2024-10-01,226.8,3833.2,627.6,4460.7,4461.6,4528.2,4462.4,3799.6,3834.1,3761.6,0.9,33.6,135.0,11924.0,84754.0,84771.0,86035.0,84786.0
20240901_40787b_022600_033827,step1_raw_2024-09-01_to_2024-10-01,269.8,4186.7,1036.6,5223.3,5236.7,5438.8,5229.1,4155.8,4200.1,4159.2,1.0,141.7,248.3,19695.0,99242.0,99498.0,103337.0,99353.0
20240901_4078dd_024749_034819,step1_raw_2024-09-01_to_2024-10-01,190.2,3274.2,1945.2,5219.4,5232.6,5426.1,5226.9,3239.9,3287.5,3228.6,0.7,114.2,212.0,36958.0,99168.0,99420.0,103096.0,99311.0
20240901_40797c_013550_024234,step1_raw_2024-09-01_to_2024-10-01,192.8,3278.8,1831.9,5110.6,5123.7,5331.5,5117.5,3245.0,3291.8,3238.5,0.7,108.4,222.1,34806.0,97102.0,97350.0,101298.0,97232.0
20240901_a8cecd_051452_062412,step1_raw_2024-09-01_to_2024-10-01,217.0,3514.6,3161.1,6675.7,6680.0,6847.5,6675.7,3482.3,3518.9,3449.8,0.8,68.4,221.2,60062.0,126838.0,126921.0,130102.0,126839.0
20240901_ab6ea5_054700_065556,step1_raw_2024-09-01_to_2024-10-01,230.5,3659.8,1982.4,5642.2,5643.0,5970.3,5669.9,3628.1,3660.7,3637.8,0.9,32.6,259.4,37665.0,107201.0,107218.0,113436.0,107728.0
20240901_c01a61_041905_054428,step1_raw_2024-09-01_to_2024-10-01,244.8,3980.1,1682.1,5662.2,5663.4,5959.5,5666.4,3947.8,3981.2,3954.2,1.1,37.6,276.4,31960.0,107583.0,107604.0,113230.0,107662.0
20240901_c023bd_042348_053309,step1_raw_2024-09-01_to_2024-10-01,201.5,3415.6,2353.8,5769.3,5838.6,5980.5,5788.3,3381.9,3484.8,3370.4,0.7,271.7,225.0,44721.0,109617.0,110933.0,113630.0,109978.0
20240902_06a109_053721_064800,step1_raw_2024-09-01_to_2024-10-01,236.5,4049.0,2924.8,6973.8,6978.9,7148.6,6985.3,4014.8,4054.1,4018.1,0.9,86.2,205.7,55571.0,132502.0,132599.0,135823.0,132720.0
20240902_39c498_064552_075237,step1_raw_2024-09-01_to_2024-10-01,200.2,3334.7,2232.0,5566.7,5573.2,5792.7,5569.1,3301.6,3341.2,3298.5,0.7,83.1,243.4,42408.0,105768.0,105891.0,110062.0,105812.0
20240902_407af2_062859_073231,step1_raw_2024-09-01_to_2024-10-01,214.0,3788.3,1183.6,4971.9,4972.1,5143.2,4977.4,3753.1,3788.5,3741.3,0.9,15.9,201.4,22488.0,94466.0,94470.0,97721.0,94570.0
20240902_484369_012227_023148,step1_raw_2024-09-01_to_2024-10-01,199.5,3382.3,1967.2,5349.5,5380.2,5541.6,5360.0,3348.7,3413.0,3339.9,0.7,170.4,203.4,37376.0,101640.0,102223.0,105291.0,101839.0
20240902_a74505_044302_055512,step1_raw_2024-09-01_to_2024-10-01,225.0,3625.8,1685.3,5311.0,5311.0,5429.2,5324.0,3593.7,3625.8,3543.9,0.9,3.6,166.0,32020.0,100910.0,100910.0,103155.0,101157.0
20240902_a75da8_040429_051718,step1_raw_2024-09-01_to_2024-10-01,228.0,3675.8,1994.0,5669.7,5669.8,5819.0,5677.2,3643.7,3675.8,3604.0,0.9,6.1,189.3,37885.0,107725.0,107726.0,110561.0,107866.0
20240902_ac053f_055212_070101,step1_raw_2024-09-01_to_2024-10-01,212.0,3545.3,2996.4,6541.7,6547.3,6729.1,6543.1,3512.0,3550.9,3483.6,0.8,79.4,216.8,56932.0,124292.0,124400.0,127854.0,124319.0
20241002_400683_021935_032856,step1_raw_2024-10-01_to_2024-11-01,209.2,3425.6,1811.2,5236.9,5243.0,5476.5,5267.1,3393.0,3431.8,3383.5,0.8,82.6,222.2,34414.0,99500.0,99617.0,104053.0,100075.0
20241002_406948_024217_035121,step1_raw_2024-10-01_to_2024-11-01,214.2,3423.9,1756.4,5180.3,5206.6,5422.1,5209.2,3392.1,3450.2,3385.6,0.8,172.1,220.8,33372.0,98426.0,98926.0,103020.0,98974.0
20241002_407af1_052746_063204,step1_raw_2024-10-01_to_2024-11-01,202.0,3305.5,2100.9,5406.4,5432.2,5649.7,5435.6,3272.9,3331.4,3268.9,0.7,161.8,237.2,39917.0,102721.0,103213.0,107344.0,103277.0
20241002_407fcc_023904_034248,step1_raw_2024-10-01_to_2024-11-01,206.2,3426.4,1757.1,5183.5,5208.2,5416.0,5214.4,3393.3,3451.1,3384.1,0.8,164.8,226.5,33385.0,98486.0,98956.0,102904.0,99073.0
20241002_408092_013245_024205,step1_raw_2024-10-01_to_2024-11-01,201.0,3289.8,1949.3,5239.1,5264.8,5476.9,5270.9,3257.2,3315.5,3253.4,0.7,160.4,222.7,37037.0,99544.0,100031.0,104062.0,100146.0
20241002_4aca65_015441_031933,step1_raw_2024-10-01_to_2024-11-01,246.2,3882.4,1873.4,5755.8,5767.3,5961.1,5762.5,3850.9,3893.9,3863.3,0.8,124.5,216.3,35595.0,109360.0,109578.0,113260.0,109487.0
20241002_4ba945_041334_051429,step1_raw_2024-10-01_to_2024-11-01,208.2,3262.5,3216.0,6478.6,6480.3,6722.4,6487.8,3231.3,3264.3,3238.0,0.7,41.6,243.8,61105.0,123092.0,123126.0,127726.0,123269.0
20241002_4bb150_050915_063656,step1_raw_2024-10-01_to_2024-11-01,255.8,3730.5,2699.6,6430.1,6430.2,6467.3,6499.6,3701.4,3730.6,3662.1,0.8,15.0,126.1,51293.0,122172.0,122175.0,122878.0,123492.0
20241002_7380c4_034312_044334,step1_raw_2024-10-01_to_2024-11-01,217.5,3318.2,2855.7,6173.8,6175.6,6186.6,6174.0,3287.9,3320.0,3248.3,0.7,39.3,55.8,54257.0,117303.0,117337.0,117546.0,117306.0
20241002_a07dc9_040634_051554,step1_raw_2024-10-01_to_2024-11-01,212.2,3348.6,2542.6,5891.2,5904.0,6119.5,5906.2,3317.2,3361.4,3308.5,0.7,117.0,226.2,48309.0,111933.0,112177.0,116271.0,112218.0
20241002_a31a57_034345_044643,step1_raw_2024-10-01_to_2024-11-01,233.0,3627.3,1351.9,4979.2,4979.8,5163.6,4979.9,3596.3,3627.9,3590.3,0.8,27.5,210.4,25685.0,94604.0,94615.0,98109.0,94619.0
20241002_a74505_020913_032522,step1_raw_2024-10-01_to_2024-11-01,211.5,3524.5,3113.0,6637.6,6644.3,6900.2,6673.6,3491.4,3531.2,3498.3,0.8,82.1,267.9,59147.0,126114.0,126241.0,131103.0,126798.0
20241002_a9961b_044327_062613,step1_raw_2024-10-01_to_2024-11-01,223.2,3350.5,3067.4,6417.9,6419.8,6421.2,6422.0,3320.6,3352.5,3281.2,0.7,46.7,38.4,58280.0,121940.0,121977.0,122002.0,122019.0
20241002_ab5867_024106_035025,step1_raw_2024-10-01_to_2024-11-01,204.8,3260.1,1462.2,4722.2,4723.6,4942.9,4727.0,3228.4,3261.4,3221.1,0.7,34.3,222.0,27781.0,89722.0,89749.0,93915.0,89814.0
20241002_ab6380_011018_025025,step1_raw_2024-10-01_to_2024-11-01,262.8,4558.0,3122.8,7680.8,7706.2,8044.5,7718.8,4523.5,4583.4,4555.6,1.4,202.8,308.3,59333.0,145935.0,146418.0,152845.0,146657.0
20241002_ac1df7_032521_043441,step1_raw_2024-10-01_to_2024-11-01,253.5,4237.8,2134.4,6372.2,6386.7,6621.7,6422.2,4204.6,4252.3,4209.2,1.2,143.5,252.3,40553.0,121072.0,121347.0,125812.0,122021.0
20241002_c0411d_012249_022705,step1_raw_2024-10-01_to_2024-11-01,205.0,3691.8,2968.9,6660.7,6670.1,7000.4,6662.6,3656.0,3701.2,3678.5,0.9,102.4,307.5,56409.0,126553.0,126733.0,133008.0,126590.0
20241003_346419_002143_014808,step1_raw_2024-10-01_to_2024-11-01,222.0,3740.6,1823.6,5564.2,5565.2,5776.0,5571.8,3707.1,3741.6,3679.0,0.9,34.6,218.9,34648.0,105719.0,105739.0,109744.0,105865.0
20241003_406a04_024448_035410,step1_raw_2024-10-01_to_2024-11-01,195.5,3176.8,2098.1,5274.9,5285.6,5507.5,5277.3,3144.5,3187.4,3152.3,0.6,89.5,238.7,39865.0,100223.0,100426.0,104643.0,100268.0
20241003_407cf6_231233_010335,step1_raw_2024-10-01_to_2024-11-01,221.5,3244.5,1974.3,5218.9,5221.8,5297.2,5249.1,3215.4,3247.4,3174.7,0.7,53.7,103.2,37513.0,99158.0,99214.0,100646.0,99733.0
20241003_407fcc_030504_040606,step1_raw_2024-10-01_to_2024-11-01,197.5,3263.8,2140.1,5403.9,5417.7,5631.4,5406.9,3231.0,3277.5,3225.9,0.7,105.5,232.1,40662.0,102674.0,102935.0,106997.0,102732.0
20241003_4aca63_021027_032318,step1_raw_2024-10-01_to_2024-11-01,254.8,4012.8,1620.8,5633.5,5635.7,5834.9,5656.3,3981.4,4015.0,3993.2,0.9,54.2,215.1,30794.0,107037.0,107079.0,110862.0,107469.0
20241003_a05648_033043_043151,step1_raw_2024-10-01_to_2024-11-01,195.5,3213.9,2643.7,5857.5,5868.5,6096.7,5860.3,3181.3,3224.8,3180.0,0.6,91.5,232.3,50229.0,111293.0,111501.0,115837.0,111346.0
20241003_a68946_071812_082345,step1_raw_2024-10-01_to_2024-11-01,204.5,3394.4,2129.4,5523.8,5525.3,5765.6,5532.9,3361.2,3395.9,3357.3,0.7,40.9,243.5,40458.0,104951.0,104980.0,109547.0,105126.0
20241003_a74505_040840_050939,step1_raw_2024-10-01_to_2024-11-01,213.8,3610.0,1851.3,5461.3,5461.3,5536.7,5474.4,3576.4,3610.0,3535.8,0.9,5.3,116.3,35175.0,103765.0,103765.0,105197.0,104014.0
20241003_a76516_023438_033559,step1_raw_2024-10-01_to_2024-11-01,193.5,3187.9,3410.1,6597.9,6608.9,6827.4,6600.3,3155.2,3198.9,3153.8,0.6,90.7,232.8,64791.0,125360.0,125570.0,129720.0,125406.0
20241004_39d2ab_052656_063003,step1_raw_2024-10-01_to_2024-11-01,190.5,3203.9,2352.0,5555.9,5564.0,5825.3,5563.9,3170.4,3212.0,3183.8,0.7,88.7,260.0,44687.0,105561.0,105715.0,110681.0,105714.0
20241004_3c6570_000202_011313,step1_raw_2024-10-01_to_2024-11-01,199.5,3179.0,2637.9,5816.9,5825.9,6067.2,5829.2,3147.4,3188.0,3153.0,0.6,83.2,240.8,50120.0,110521.0,110692.0,115278.0,110756.0
20241004_400683_014046_034213,step1_raw_2024-10-01_to_2024-11-01,217.8,3456.4,1627.9,5084.3,5107.8,5353.2,5142.8,3424.8,3479.9,3439.4,0.8,160.6,256.0,30930.0,96602.0,97048.0,101711.0,97713.0
20241004_4006c2_070010_080541,step1_raw_2024-10-01_to_2024-11-01,202.5,3296.8,2089.5,5386.3,5393.4,5660.1,5395.4,3264.3,3303.8,3274.0,0.7,86.1,255.7,39701.0,102340.0,102474.0,107541.0,102512.0
20241004_40688b_041019_051940,step1_raw_2024-10-01_to_2024-11-01,202.5,3230.2,1809.6,5039.8,5047.9,5265.0,5044.6,3198.4,3238.3,3191.9,0.7,90.7,227.8,34382.0,95756.0,95910.0,100035.0,95847.0
20241004_408092_014227_024827,step1_raw_2024-10-01_to_2024-11-01,194.8,3219.9,1976.2,5196.1,5205.1,5454.3,5203.1,3187.0,3228.9,3197.6,0.7,87.0,250.8,37548.0,98726.0,98897.0,103632.0,98858.0
20241004_4b1882_052942_063519,step1_raw_2024-10-01_to_2024-11-01,211.0,3448.1,2351.4,5799.4,5818.8,6035.1,5809.7,3415.5,3467.4,3403.8,0.8,144.5,235.9,44676.0,110189.0,110557.0,114668.0,110384.0
20241004_a05629_034024_044613,step1_raw_2024-10-01_to_2024-11-01,194.2,3210.2,2211.2,5421.3,5450.9,5696.2,5446.1,3177.2,3239.8,3187.5,0.7,173.0,257.3,42012.0,103005.0,103568.0,108228.0,103475.0
20241004_a05648_045038_055517,step1_raw_2024-10-01_to_2024-11-01,278.2,4578.5,637.7,5216.2,5263.7,5313.5,5230.6,4545.7,4626.0,4529.2,1.4,285.6,97.2,12117.0,99108.0,100010.0,100956.0,99382.0
20241004_ab6ea5_032146_043106,step1_raw_2024-10-01_to_2024-11-01,204.2,3289.7,1781.9,5071.6,5081.9,5326.0,5091.6,3257.6,3299.9,3272.8,0.7,103.2,246.2,33857.0,96361.0,96555.0,101194.0,96740.0
20241004_ac1df7_033759_050921,step1_raw_2024-10-01_to_2024-11-01,216.0,3650.9,2113.5,5764.3,5765.4,5948.5,5767.6,3617.2,3651.9,3592.6,0.9,34.2,203.2,40156.0,109522.0,109542.0,113021.0,109585.0
20241004_c023bd_001921_015227,step1_raw_2024-10-01_to_2024-11-01,203.5,3424.1,2935.9,6360.0,6417.8,6625.5,6417.6,3390.7,3481.9,3387.2,0.8,245.5,258.6,55782.0,120840.0,121938.0,125885.0,121933.0
20241005_3c6516_014748_024913,step1_raw_2024-10-01_to_2024-11-01,200.5,3261.8,2399.2,5661.0,5664.2,5902.2,5668.5,3229.4,3265.1,3223.0,0.7,56.9,233.3,45584.0,107559.0,107620.0,112141.0,107702.0
20241005_4006c0_021335_033552,step1_raw_2024-10-01_to_2024-11-01,204.8,3350.8,1839.1,5190.0,5200.8,5416.9,5212.8,3318.3,3361.7,3314.3,0.7,103.8,225.5,34943.0,98609.0,98815.0,102921.0,99044.0
20241005_4006c1_034312_051227,step1_raw_2024-10-01_to_2024-11-01,205.0,3392.9,1987.2,5380.1,5385.8,5627.8,5388.3,3359.9,3398.6,3354.3,0.7,75.8,241.8,37757.0,102221.0,102330.0,106929.0,102378.0
20241005_407944_063308_074242,step1_raw_2024-10-01_to_2024-11-01,201.8,3332.1,1687.3,5019.4,5052.7,5240.7,5042.5,3299.3,3365.3,3293.5,0.7,181.8,220.9,32059.0,95368.0,96000.0,99573.0,95808.0
20241005_407fcc_021459_031549,step1_raw_2024-10-01_to_2024-11-01,190.8,3243.3,2134.7,5378.0,5380.0,5645.3,5385.8,3209.5,3245.3,3214.8,0.7,40.8,249.5,40559.0,102182.0,102220.0,107260.0,102331.0
20241005_408092_011706_022314,step1_raw_2024-10-01_to_2024-11-01,191.5,3214.0,1982.3,5196.3,5198.3,5440.8,5201.5,3180.7,3216.0,3179.2,0.7,36.1,238.6,37664.0,98730.0,98767.0,103376.0,98828.0
20241005_4b187f_012539_022703,step1_raw_2024-10-01_to_2024-11-01,202.8,3381.0,2468.4,5849.3,5854.8,6130.9,5856.9,3347.8,3386.4,3356.0,0.7,71.0,265.5,46899.0,111137.0,111241.0,116487.0,111281.0
20241005_4b18fe_034721_053500,step1_raw_2024-10-01_to_2024-11-01,213.0,3496.6,2605.3,6101.9,6109.4,6347.8,6114.1,3463.9,3504.1,3460.6,0.8,90.2,244.7,49500.0,115936.0,116078.0,120609.0,116168.0
20241005_76cdb5_051840_063032,step1_raw_2024-10-01_to_2024-11-01,201.2,3326.8,1563.9,4890.7,4913.7,5112.8,4911.9,3293.9,3349.7,3287.3,0.7,154.7,215.2,29715.0,92924.0,93360.0,97144.0,93326.0
20241005_a11bc8_003902_014844,step1_raw_2024-10-01_to_2024-11-01,195.8,3249.2,2260.1,5509.4,5521.0,5739.3,5532.1,3216.3,3260.9,3219.7,0.7,100.6,234.9,42942.0,104678.0,104899.0,109047.0,105111.0
20241005_a74ecc_015151_030112,step1_raw_2024-10-01_to_2024-11-01,213.8,3561.2,3077.9,6639.1,6647.4,6921.0,6653.3,3528.0,3569.4,3537.7,0.8,92.9,271.5,58481.0,126142.0,126300.0,131499.0,126412.0
20241005_a7563a_045547_063252,step1_raw_2024-10-01_to_2024-11-01,210.0,3619.6,2337.8,5957.4,5957.5,6192.0,5962.2,3585.3,3619.7,3567.6,0.9,11.4,236.4,44417.0,113190.0,113193.0,117648.0,113282.0
20241005_ab6ea5_051502_062558,step1_raw_2024-10-01_to_2024-11-01,208.5,3622.3,1633.7,5256.0,5256.5,5341.3,5277.8,3587.7,3622.8,3564.2,0.9,24.6,127.5,31040.0,99865.0,99874.0,101484.0,100278.0
20241005_abfa24_034943_050511,step1_raw_2024-10-01_to_2024-11-01,208.5,3576.5,2050.7,5627.2,5631.7,5899.4,5645.3,3542.3,3581.1,3545.6,0.8,72.2,263.8,38962.0,106917.0,107002.0,112088.0,107261.0
20241006_06a0e8_052307_063227,step1_raw_2024-10-01_to_2024-11-01,255.8,4399.2,2780.7,7180.0,7209.6,7556.8,7232.3,4365.0,4428.9,4402.2,1.3,213.3,315.8,52834.0,136419.0,136983.0,143580.0,137413.0
20241006_39c498_062955_073727,step1_raw_2024-10-01_to_2024-11-01,203.5,3512.5,2096.0,5608.5,5609.9,5852.2,5628.2,3478.2,3513.9,3466.4,0.8,36.6,239.2,39824.0,106562.0,106589.0,111193.0,106935.0
20241006_39d2a4_011444_024122,step1_raw_2024-10-01_to_2024-11-01,209.0,3596.0,2036.8,5632.8,5639.0,5904.4,5684.6,3561.8,3602.2,3563.7,0.9,82.2,235.0,38699.0,107023.0,107141.0,112183.0,108007.0
20241006_3c6515_022916_034025,step1_raw_2024-10-01_to_2024-11-01,216.0,3672.3,2194.8,5867.1,5869.8,6127.3,5891.3,3638.4,3675.0,3631.4,0.9,56.4,253.0,41701.0,111474.0,111527.0,116419.0,111935.0
20241006_3c6517_021652_031700,step1_raw_2024-10-01_to_2024-11-01,209.2,3348.5,2207.8,5556.3,5559.8,5775.8,5582.8,3316.6,3352.0,3300.5,0.7,61.2,212.3,41949.0,105570.0,105636.0,109741.0,106073.0
20241006_4074e3_052252_064259,step1_raw_2024-10-01_to_2024-11-01,202.0,3318.3,1823.4,5141.7,5157.9,5349.0,5171.2,3285.6,3334.5,3267.4,0.7,126.8,205.1,34644.0,97693.0,98000.0,101630.0,98253.0
20241006_40779a_022227_035024,step1_raw_2024-10-01_to_2024-11-01,198.8,3321.0,1766.3,5087.3,5105.9,5316.1,5118.5,3287.7,3339.6,3275.2,0.7,131.9,219.8,33560.0,96659.0,97012.0,101006.0,97252.0
20241006_4078b8_050851_061716,step1_raw_2024-10-01_to_2024-11-01,197.0,3388.9,2062.3,5451.2,5454.8,5687.2,5469.7,3354.7,3392.5,3346.6,0.8,58.9,228.9,39183.0,103572.0,103641.0,108057.0,103925.0
20241006_407af1_051201_062121,step1_raw_2024-10-01_to_2024-11-01,194.8,3312.8,2011.2,5324.0,5325.4,5556.6,5341.3,3279.0,3314.2,3265.6,0.7,35.2,214.0,38213.0,101155.0,101182.0,105575.0,101486.0
20241006_407fcc_021234_034939,step1_raw_2024-10-01_to_2024-11-01,206.8,3581.2,1978.3,5559.6,5565.9,5942.6,5615.4,3546.8,3587.5,3580.3,0.8,79.7,279.8,37589.0,105632.0,105752.0,112910.0,106692.0
20241006_408092_011421_023757,step1_raw_2024-10-01_to_2024-11-01,199.2,3393.5,1895.5,5289.1,5292.8,5524.6,5308.0,3359.6,3397.2,3348.1,0.7,61.2,230.4,36015.0,100492.0,100563.0,104968.0,100851.0
20241006_4aca65_012719_030320,step1_raw_2024-10-01_to_2024-11-01,250.0,3923.0,2050.9,5973.9,5984.1,6188.2,5994.7,3891.7,3933.2,3907.0,0.8,117.3,219.3,38967.0,113504.0,113697.0,117576.0,113900.0
20241006_4b187c_010757_022935,step1_raw_2024-10-01_to_2024-11-01,258.2,4357.4,1537.3,5894.7,5894.7,6252.8,5945.5,4323.8,4357.4,4353.7,1.3,0.0,294.2,29209.0,112000.0,112000.0,118803.0,112965.0
20241006_4b1881_002100_013913,step1_raw_2024-10-01_to_2024-11-01,223.5,3580.9,2375.6,5956.4,5959.3,6177.2,5978.2,3549.0,3583.7,3535.5,0.8,54.8,201.5,45136.0,113172.0,113227.0,117367.0,113586.0
20241006_4ca87c_011219_023317,step1_raw_2024-10-01_to_2024-11-01,256.0,4257.9,2045.5,6303.4,6332.2,6503.0,6343.6,4224.7,4286.7,4207.5,1.2,208.8,215.3,38865.0,119764.0,120312.0,123557.0,120528.0
20241006_4caa32_004320_015240,step1_raw_2024-10-01_to_2024-11-01,257.8,4259.1,2073.8,6333.0,6363.1,6582.7,6380.5,4226.2,4289.3,4225.6,1.2,211.6,231.8,39403.0,120327.0,120900.0,125071.0,121230.0
20241006_76cdb4_054338_065259,step1_raw_2024-10-01_to_2024-11-01,199.2,3303.9,1693.1,4997.0,4997.9,5205.1,5010.5,3270.8,3304.7,3256.3,0.7,28.8,200.6,32170.0,94943.0,94959.0,98897.0,95200.0
20241006_a0566a_014520_032224,step1_raw_2024-10-01_to_2024-11-01,256.8,4449.4,2214.8,6664.1,6796.2,7010.3,6721.1,4414.9,4581.5,4448.8,1.3,468.7,295.7,42081.0,126619.0,129129.0,133196.0,127701.0
20241006_a74ecc_050610_062923,step1_raw_2024-10-01_to_2024-11-01,206.8,3559.0,1688.0,5247.0,5253.3,5663.6,5296.7,3524.8,3565.3,3559.9,0.8,79.3,278.8,32073.0,99693.0,99813.0,107609.0,100638.0
20241006_ab6ea5_052145_064408,step1_raw_2024-10-01_to_2024-11-01,197.8,3641.8,3670.6,7312.4,7312.4,7507.0,7314.9,3605.2,3641.8,3579.3,0.9,1.4,228.4,69741.0,138936.0,138936.0,142632.0,138983.0
20241006_ac0906_024549_040412,step1_raw_2024-10-01_to_2024-11-01,206.0,3626.5,1839.7,5466.2,5466.2,5663.7,5474.2,3591.4,3626.5,3561.6,0.9,3.9,214.7,34955.0,103858.0,103858.0,107610.0,104010.0
20241007_39d2ab_013248_025134,step1_raw_2024-10-01_to_2024-11-01,198.5,3455.3,2199.5,5654.8,5655.8,5885.3,5670.5,3420.6,3456.2,3407.1,0.8,31.5,237.0,41791.0,107442.0,107460.0,111821.0,107740.0
20241007_400684_035346_050307,step1_raw_2024-10-01_to_2024-11-01,194.2,3224.7,2032.4,5257.1,5258.2,5472.2,5270.3,3191.6,3225.8,3176.3,0.7,32.2,207.0,38616.0,99884.0,99905.0,103972.0,100135.0
20241007_4074e3_063542_074502,step1_raw_2024-10-01_to_2024-11-01,204.5,3453.1,1700.3,5153.3,5157.7,5362.4,5180.6,3419.4,3457.4,3405.8,0.8,69.4,212.1,32306.0,97914.0,97996.0,101886.0,98432.0
20241007_407af3_020914_033732,step1_raw_2024-10-01_to_2024-11-01,183.0,3203.7,2077.6,5281.2,5283.5,5504.4,5296.4,3168.8,3205.9,3154.5,0.7,42.8,218.2,39474.0,100344.0,100387.0,104584.0,100632.0
20241007_407f2d_054743_065704,step1_raw_2024-10-01_to_2024-11-01,193.2,3326.0,1895.8,5221.8,5237.7,5448.0,5249.9,3291.7,3342.0,3282.9,0.7,126.2,213.7,36020.0,99214.0,99517.0,103512.0,99748.0
20241007_408092_012126_022539,step1_raw_2024-10-01_to_2024-11-01,180.8,3191.6,2129.9,5321.5,5322.5,5523.4,5334.6,3156.5,3192.6,3142.5,0.7,28.0,222.6,40468.0,101108.0,101128.0,104944.0,101358.0
20241007_4aca63_012938_023632,step1_raw_2024-10-01_to_2024-11-01,190.0,3193.6,2799.3,5992.8,6006.2,6201.9,6000.8,3160.1,3206.9,3147.1,0.6,109.0,202.0,53186.0,113864.0,114117.0,117836.0,114014.0
20241007_a0f427_023112_034032,step1_raw_2024-10-01_to_2024-11-01,205.5,3359.9,2189.1,5549.0,5554.0,5778.7,5559.8,3327.5,3364.9,3319.8,0.7,68.3,228.4,41592.0,105431.0,105526.0,109796.0,105636.0
20241007_ab6afa_050244_060513,step1_raw_2024-10-01_to_2024-11-01,215.0,3807.7,3214.4,7022.1,7023.0,7194.3,7079.9,3772.5,3808.6,3727.8,1.0,33.4,198.9,61074.0,133420.0,133437.0,136692.0,134519.0
20241007_abfdd1_030350_040357,step1_raw_2024-10-01_to_2024-11-01,186.5,3267.2,2834.6,6101.8,6103.8,6338.0,6118.7,3232.3,3269.2,3223.8,0.7,43.3,222.5,53857.0,115935.0,115972.0,120422.0,116256.0
20241007_ac142e_050124_062436,step1_raw_2024-10-01_to_2024-11-01,226.5,3732.1,1837.7,5569.9,5574.7,5611.9,5617.2,3699.2,3737.0,3642.9,0.9,78.0,94.1,34917.0,105827.0,105920.0,106626.0,106727.0
20241007_c0173a_022647_034259,step1_raw_2024-10-01_to_2024-11-01,221.8,3487.7,1490.0,4977.7,4978.1,5194.1,4988.4,3456.4,3488.0,3445.4,0.8,18.7,215.7,28311.0,94577.0,94583.0,98689.0,94780.0
20241008_39c48d_063557_074012,step1_raw_2024-10-01_to_2024-11-01,205.5,3440.7,2191.6,5632.3,5634.6,5864.9,5644.8,3407.5,3443.0,3403.1,0.8,42.8,246.9,41640.0,107014.0,107057.0,111433.0,107252.0
20241008_39cf0a_024307_034509,step1_raw_2024-10-01_to_2024-11-01,191.5,3156.8,2404.3,5561.1,5561.2,5796.9,5571.5,3124.1,3156.9,3118.6,0.6,6.0,240.8,45681.0,105661.0,105662.0,110141.0,105859.0
